Navn,Type,Kategori,Målgruppe,Forklaring,Kilde / mer informasjon
Dapla Lab,Arbeidsflate,Tjenestekatalog,"Statistikere, forskere, utviklere","Brukerflaten der man starter JupyterLab, RStudio, VS Code, DataDoc-editor, VarDef-forvaltning, Jdemetra og andre tjenester på Dapla",https://manual.dapla.ssb.no/statistikkere/dapla-lab.html
Dapla-team,Organisering,Tilgang,"Statistikere, forskere, ledere, dataeiere","Tilgangsstyring, datadeling, eierskap til data.",https://manual.dapla.ssb.no/statistikkere/hva-er-dapla-team.html#opprette-dapla-team
Bøtter / buckets,Lagring,,"Statistikere, forskere, dataeiere",Lagringsområder for datafiler på Dapla. Knyttet til team og tilgangsstyring.,https://manual.dapla.ssb.no/statistikkere/hva-er-botter.html
JupyterLab på Dapla,Programmeringsmiljø,,Statistikere og forskere med Python/R,Verktøy for å skrive og kjøre kode i R og Python på Dapla. Egnet for nybegynnere,
VS Code på Dapla,Programmeringsmiljø,,"Statistikere, forskere, utviklere",Verktøy for å skrive og kjøre kode i R og Python på Dapla,https://manual.dapla.ssb.no/statistikkere/vscode-python.html
RStudio på Dapla,Programmeringsmiljø,,"R-brukere, statistikere, forskere",Verktøy for å skrive og kjøre kode i R,https://manual.dapla.ssb.no/statistikkere/rstudio.html
Git og GitHub,Versjonskontroll,,"Statistikere, forskere, ledere, utviklere","Versjonering, samarbeid og sporbarhet i kode",https://github.com/statisticsnorway
Dapla-manualen,Dokumentasjon,Opplæring,Alle Dapla-brukere,Oppslagsverk og dokumentasjon av verktøy og systemer på Dapla. Har også en nyhetsstrøm for Dapla-relaterte nyheter.,https://manual.dapla.ssb.no/
Datatilstander,Standard,Produksjonsmodell,"Statistikere, ledere, dataeiere",Standard for stadier av data gjennom produksjonsløpet,https://manual.dapla.ssb.no/statistikkere/datatilstander.html
GSBPM × Systemer,Oversikt,Prosessmodell,"Statistikere, ledere, produkt- og systemeiere",Visualisering som kobler fellessystemer til faser og delprosesser i GSBPM (Generic Statistical Business Process Model).,https://thomasbjornskau.github.io/dataviz-resources/gsbpm/apps/systemer/index.html
Metodebiblioteket,Metodeoversikt,,"Statistikere, forskere, metode, ledere","Metodekatalog for å finne metoder/funksjoner for editering, estimering, konfidensialitet og tidsserier utviklet av metodeseksjonen",https://statisticsnorway.github.io/ssb-metodebiblioteket/catalogue_edit.html
Datadoc,Metadata,Dokumentasjon,"Statistikere, forskere, dataeiere, ledere",System for å dokumentere datasett og variabler,https://manual.dapla.ssb.no/statistikkere/datadoc.html
Datadoc-editor,Grafisk verktøy,Metadata,Statistikere og forskere,Grensesnitt for bruk av DataDoc,https://manual.dapla.ssb.no/statistikkere/datadoc-editor.html
Kildomaten,Datatjeneste / automatisering,"Datainnsamling, kildedata og dataminimering","Statistikere, data-admins, produksjonsteam og ledere med ansvar for datainngang","Kildomaten automatiserer deler av overgangen fra kildedata til inndata. Den kjører teamets egne skript automatisk når nye filer kommer inn i kildedatabøtta, og skriver resultatet til produktbøtta. Formålet er å redusere behovet for direkte tilgang til kildedata, og å gjøre dataminimering og eventuell pseudonymisering tidlig i produksjonsløpet.",https://manual.dapla.ssb.no/statistikkere/kildomaten.html
Delomaten,Datatjeneste / automatisert datadeling,Datadeling mellom Dapla-team,"Statistikere, dataeiere, data-admins, ledere og team som deler eller mottar data","Delomaten er en tjeneste for kontrollert deling av data mellom Dapla-team. Den brukes når data må deles på tvers av team, men der tilganger og ansvar må håndteres strengt. Tjenesten kan prosessere filer automatisk, lage metadata og støtte sikker deling uten at det delende teamet nødvendigvis får tilgang til dataene slik mottakeren ser dem.",https://manual.dapla.ssb.no/statistikkere/delomaten.html
Dapla Ctrl,Webapplikasjon / administrasjonsverktøy,Tilgangsstyring og teamadministrasjon,"Alle SSB-ansatte som trenger oversikt; særlig teamansvarlige, tilgangsansvarlige og ledere","Dapla Ctrl er tjenesten for tilgangsstyring på Dapla. Her kan ansatte se informasjon om Dapla-team og tilganger. Teamansvarlige kan administrere medlemmer, roller og opprette eller følge opp team. For ledere er dette et sentralt sted for oversikt over hvem som har tilgang til hva.",https://manual.dapla.ssb.no/statistikkere/dapla-ctrl.html
